model_name,doi,overall_precision,overall_recall,overall_f1,num_target_items,num_extracted_items,num_matched_items,num_target_materials,num_extracted_materials,num_matched_materials,avg_process_edit_distance,input_tokens,output_tokens,cost_usd,elapsed_seconds,avg_paper_time,max_paper_time,avg_attempts,num_hallucinated,num_total_numbers,hallucination_rate,value_precision,value_recall,value_f1,measurement_precision,measurement_recall,measurement_f1,config_precision,config_recall,config_f1,process_precision,process_recall,process_f1,material_precision,material_recall,material_f1
claude-haiku-4-5,doi_10_1016__j_proeng_2012_03_043,0.6130,0.8161,0.6896,12,28,10.87,4,4,4,3.0000,11982,1724,0.020602,,,,1.00,0,55,0.0000,0.4659,0.7655,0.5793,0.3881,0.9056,0.5433,1.0000,1.0000,1.0000,0.4000,0.6667,0.5000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1038__ncomms10602,0.8445,0.9991,0.9076,19,28,18.92,1,1,1,0.0000,43460,6046,0.073690,,,,2.00,0,61,0.0000,0.6890,0.9983,0.8153,0.6756,0.9956,0.8050,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1038__s41467_019_08460_2,0.7045,0.6858,0.6924,18,30,8.00,5,4,4,2.2500,18951,3145,0.034676,,,,1.00,0,49,0.0000,0.6091,0.5982,0.6036,0.2667,0.4444,0.3333,0.7143,0.6667,0.6897,0.7143,0.8333,0.7692,1.0000,0.8000,0.8889
claude-haiku-4-5,doi_10_1038__s41467_019_10533_1,0.8273,0.7717,0.7932,18,21,18.00,7,7,7,1.0000,69142,5284,0.095562,,,,3.00,0,68,0.0000,0.8046,0.8434,0.8235,0.8571,1.0000,0.9231,0.5000,0.3333,0.4000,1.0000,0.7500,0.8571,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1038__s41598_017_16509_9,0.7105,0.7266,0.7167,16,24,8.70,3,3,3,2.0000,15729,1911,0.025284,,,,1.00,0,41,0.0000,0.6311,0.7076,0.6671,0.3625,0.5437,0.4350,0.5000,0.5000,0.5000,0.8500,0.7391,0.7907,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1038__s41598_019_43329_w,0.4688,0.4389,0.4525,44,45,29.50,5,5,5,1.0000,92440,11764,0.151260,,,,3.00,0,120,0.0000,0.3708,0.3112,0.3384,0.6556,0.6705,0.6629,0.0000,0.0000,0.0000,0.6667,0.6667,0.6667,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1155__2019__2157592,0.4799,0.4674,0.4734,18,22,2.00,12,11,11,0.3636,13920,1807,0.022955,,,,1.00,0,86,0.0000,0.3214,0.3214,0.3214,0.0909,0.1111,0.1000,0.0000,0.0000,0.0000,0.8462,0.8462,0.8462,1.0000,0.9167,0.9565
claude-haiku-4-5,doi_10_3390__coatings9010016,0.5109,0.5425,0.5170,43,35,12.00,3,4,3,3.0000,62753,8794,0.106723,,,,3.00,0,92,0.0000,0.4068,0.4528,0.4286,0.3429,0.2791,0.3077,0.5000,0.2500,0.3333,0.6000,0.6429,0.6207,0.7500,1.0000,0.8571
claude-haiku-4-5,doi_10_3390__e16020870,0.8315,0.8827,0.8550,47,51,40.20,6,6,6,0.0000,18033,3589,0.035978,,,,1.00,0,150,0.0000,0.7274,0.7654,0.7459,0.7882,0.8553,0.8204,0.7857,1.0000,0.8800,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e18050189,0.9768,0.8708,0.9172,10,9,7.45,1,1,1,0.0000,21390,734,0.025060,,,,1.00,0,22,0.0000,0.9536,0.7417,0.8344,0.8278,0.7450,0.7842,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
